Year,period,code,carrier,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2012,4,UA,United Air Lines Inc.,544,97,32,1,36,0,28,3,1,4774,1621,63,1299,10,1782
2012,4,WN,Southwest Airlines Co.,1324,161,54,4,25,1,78,9,1,7705,2712,231,859,26,3876
2012,5,AA,American Airlines Inc.,579,107,28,8,36,0,34,4,3,6925,1816,702,1651,3,2753
2012,5,B6,JetBlue Airways,353,59,18,1,22,0,17,0,1,3308,1079,96,1006,7,1120
2012,5,DL,Delta Air Lines Inc.,494,65,19,2,25,0,19,1,1,3465,1302,111,954,3,1096
2012,5,UA,United Air Lines Inc.,580,122,38,2,49,0,33,5,1,6900,2205,223,2068,8,2395
2012,5,WN,Southwest Airlines Co.,1356,203,67,5,32,1,98,8,2,9733,3187,354,1222,34,4937
2012,6,AA,American Airlines Inc.,544,99,32,7,31,0,30,8,3,6219,2034,619,1437,8,2121
2012,6,B6,JetBlue Airways,363,77,26,3,20,0,29,4,1,5668,1752,324,1190,17,2385
2012,6,DL,Delta Air Lines Inc.,498,69,23,2,23,0,21,2,2,4120,1609,173,997,1,1341
2012,6,UA,United Air Lines Inc.,577,161,56,3,48,0,55,9,2,9832,3276,219,2116,12,4209
2012,6,WN,Southwest Airlines Co.,1353,261,84,5,41,1,130,9,2,12883,3967,437,1631,27,6821
2012,7,AA,American Airlines Inc.,559,122,36,8,41,0,37,7,3,7529,2221,596,2071,2,2639
2012,7,B6,JetBlue Airways,393,93,27,3,29,0,33,3,1,6850,1905,400,1769,10,2765
2012,7,DL,Delta Air Lines Inc.,522,100,29,5,35,0,31,3,2,6600,2106,406,1859,2,2228
2012,7,UA,United Air Lines Inc.,624,207,69,6,57,0,75,14,2,14415,4349,491,3169,12,6394
2012,7,WN,Southwest Airlines Co.,1382,301,90,10,49,1,152,9,3,15633,4347,737,2081,30,8437
2012,8,AA,American Airlines Inc.,558,128,40,6,42,0,41,11,2,7488,2423,422,1743,13,2887
2012,8,B6,JetBlue Airways,391,99,31,3,28,0,37,2,1,7249,2213,293,1613,12,3118
2012,8,DL,Delta Air Lines Inc.,527,80,25,2,29,0,25,3,1,4900,1732,138,1368,1,1661
2012,8,UA,United Air Lines Inc.,612,159,59,3,43,1,54,10,1,9942,3439,213,2088,45,4157
2012,8,WN,Southwest Airlines Co.,1295,250,75,8,42,1,125,10,3,12935,3544,585,1787,30,6989
2012,9,AA,American Airlines Inc.,523,202,71,4,60,0,67,16,1,11697,4624,206,2225,8,4634
2012,9,B6,JetBlue Airways,342,58,17,1,22,0,18,0,1,3565,1084,60,1167,2,1251
2012,9,DL,Delta Air Lines Inc.,466,46,15,1,18,0,13,1,1,2573,1072,35,720,1,746
