NCode,Year,Month,difference,Carrier_delay,Weather_delay,NAS_delay,Security_delay,Late_aircraft_delay,inc_dec
2,2015,9,716039,1116,162,650,1,641,Increase
2,2016,9,397751,1261,176,720,3,722,Increase
2,2017,9,-220688,1265,257,817,2,633,Decrease
2,2018,9,663548,1310,198,1132,5,927,Increase
2,2010,10,3800853,1658,206,1491,1,1601,Increase
2,2011,10,-95478,1019,49,726,2,677,Decrease
2,2012,10,424398,1222,57,773,1,939,Increase
2,2013,10,237871,1081,31,484,4,453,Increase
2,2014,10,991062,1168,90,973,1,950,Increase
2,2015,10,835838,1229,55,495,1,537,Increase
2,2016,10,185496,1050,28,541,3,447,Increase
2,2017,10,461839,1368,93,1067,7,940,Increase
2,2018,10,425702,1212,160,800,2,795,Increase
2,2010,11,3390285,1524,137,1520,0,1647,Increase
2,2011,11,94776,958,35,739,1,701,Increase
2,2012,11,435015,1001,54,478,2,631,Increase
2,2013,11,-132644,1274,92,685,41,769,Decrease
2,2014,11,939816,1241,146,948,3,879,Increase
2,2015,11,966083,1323,144,708,6,788,Increase
2,2016,11,343326,1073,76,602,3,576,Increase
2,2017,11,228599,881,54,429,3,340,Increase
2,2018,11,641953,1565,373,1430,1,1488,Increase
2,2010,12,3238675,2410,343,2047,2,2457,Increase
2,2011,12,19928,1056,53,770,1,837,Increase
2,2012,12,233758,1229,123,926,1,1030,Increase
2,2013,12,893482,1967,338,1187,0,1297,Increase
2,2014,12,526561,1169,123,720,0,588,Increase
2,2015,12,607311,1777,594,1191,2,1732,Increase
2,2016,12,333645,2262,492,1373,4,1703,Increase
2,2017,12,-163912,1828,696,1302,6,1076,Decrease
2,2018,12,858999,1143,214,810,1,729,Increase
5,2010,1,-132542,795,74,956,1,1211,Decrease
5,2011,1,-219768,644,93,921,19,901,Decrease
5,2012,1,3102026,1332,228,1405,0,1528,Increase
5,2013,1,-40396,1300,157,1174,3,1344,Decrease
5,2014,1,-152103,2627,685,1429,0,2655,Decrease
5,2015,1,58737,2254,430,1481,0,2172,Increase
5,2016,1,323384,1438,194,1024,1,1334,Increase
5,2017,1,609362,2176,261,2151,2,2496,Increase
5,2018,1,180413,1007,330,1241,0,1369,Increase
5,2010,2,-267425,679,97,818,0,1200,Decrease
5,2011,2,-175207,775,117,992,0,1061,Decrease
5,2012,2,3147141,1085,62,1120,6,1276,Increase
5,2013,2,-304662,1285,201,1090,2,1369,Decrease
5,2014,2,-53555,2326,380,1884,0,2432,Decrease
5,2015,2,56540,2176,495,1581,0,2039,Increase
5,2016,2,460970,1256,287,1341,0,1619,Increase
5,2017,2,242461,1421,198,1754,0,1959,Increase
5,2018,2,322003,891,301,1530,3,1230,Increase
5,2010,3,-295068,784,57,982,0,1423,Decrease
5,2011,3,-316614,703,58,1037,0,1449,Decrease
5,2012,3,3810687,1940,117,1693,0,2093,Increase
5,2013,3,-239175,1719,153,1455,5,1958,Decrease
5,2014,3,35486,2027,177,1419,0,2189,Increase
5,2015,3,142207,2347,417,1664,0,2592,Increase
5,2016,3,155846,1857,234,1590,0,2574,Increase
5,2017,3,756135,1636,121,1950,0,2335,Increase
5,2018,3,360759,1198,240,1555,0,1672,Increase
